"Crime \ Severity","major_offense_type",11,10,9,8,7,6,5,4,3,2,1,"Total"
"Arson","Arson",,3,5,4,22,,3,1,1,4,,43
"Assault","Assault, Simple
Agravated Assault",,19,61,76,80,516,1,,,,,753
"Burglary","Burglary",,,69,151,407,20,32,10,59,293,1,1042
"Driving","Motor Vehicle Theft
DUII
",,,,1,,71,1,1,6,179,999,1258
"Drug Delivery/Mfg","Drugs",,,,857,2,922,3,495,1,19,14,2313
"Drug Possession","Drugs",,,,32,2,108,1,20,3,20,3901,4087
"Forgery/Fraud","Larceny",,,,,,2,5,21,139,275,4,446
"Homicide","Homicide",11,22,15,50,,,,,,,,98
"Other",,,1,,3,2,684,3,480,25,6,58,1262
"Other Person",,,14,20,30,141,113,56,31,1,,,406
"Other Property","Vandalism",,,,,2,,1,6,50,108,2,169
"Other Sex","Sex Offenses
Prostitution",,2,1,152,47,72,2,1,,,,277
"Rape/Sodomy","Rape",,77,31,73,24,110,,,,,,315
"Robbery","Larceny",,1,202,11,31,35,257,4,,,,541
"Theft/MV Theft","Larceny",,,,1,,29,140,248,983,809,21,2231
"Total",,11,139,404,1441,760,2682,505,1318,1268,1713,5000,15241
